#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"positions","Ariana Grande",0,144,"pop","Pop","positions",2020-10-23,02:52,74,80,47,0,68,0,0,-5,C Major,4,2020-10-23,7igeByaBM0MgGsgXtNxDJ7,"Republic Records",8B,,https://i.scdn.co/image/ab67616d000048517368325f5998ef48d4fb5401
2,"Blinding Lights","The Weeknd",19,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Blinding Lights",2019-11-29,03:21,51,80,0,0,35,0,0,-4,C♯/D♭ Major,4,2020-11-06,0sf12qNH5qcw8qpgymFOqD,"Republic Records",3B,,https://i.scdn.co/image/ab67616d00004851c464fabb4e51b72d657f779a
3,"The Box","Roddy Ricch",86,117,"melodic rap, rap, trap","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,03:16,90,59,10,0,64,0,70,-7,A#/B♭ Minor,4,2020-03-29,0nbXyq5TXYPCO7pr3N8S4I,"Atlantic Records",3A,https://p.scdn.co/mp3-preview/6306fda4df77cbcaf47c8b9fa3575ce457504c9c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851600adbc750285ea1a8da249f
4,"cardigan","Taylor Swift",54,130,"pop","Pop","folklore",2020-07-24,03:59,61,58,54,0,55,0,20,-9,C Minor,4,2020-08-17,4LEK9rD7TWIG4FCL1s27XC,"Taylor Swift",5A,,https://i.scdn.co/image/ab67616d00004851ca0e5b2eeeedc77e6acd4cd0
5,"death bed (coffee for your head)","Powfu,beabadoobee",83,144,"sad lo-fi, sad rap, bedroom pop, bubblegrunge, indie pop, pov: indie","Pop, Rock, Electronic, Hip Hop","death bed (coffee for your head)",2020-02-08,02:53,73,43,73,0,35,10,70,-9,G#/A♭ Minor,4,2020-12-31,7eJMfftS33KTjuF7lTsMCx,"Columbia",1A,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf01fd0986a195d485922167
6,"Watermelon Sugar","Harry Styles",89,95,"pop","Pop","Fine Line",2019-12-13,02:54,55,82,12,0,56,0,30,-4,C Major,4,2020-12-31,6UelLqGlWMcVH1E5c4H7lY,"Columbia",8B,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485177fdcfda6535601aff081b6a
7,"Blueberry Faygo","Lil Mosey",77,99,"melodic rap, rap conscient","Hip Hop","Certified Hitmaker",2020-02-06,02:42,77,55,21,0,35,0,10,-8,C Major,4,2020-12-31,22LAwLoDA5b4AaGSkg6bKW,"Mogul Vision/Interscope Records",8B,,https://i.scdn.co/image/ab67616d000048510824105a6282782aaabb0584
8,"ROXANNE","Arizona Zervas",79,117,"indie pop rap, pop rap, rhode island rap","Hip Hop","ROXANNE",2019-10-10,02:43,62,60,5,0,46,10,40,-6,F#/G♭ Minor,5,2020-12-26,696DnlkuDOXcMAnKlTgXXK,"Arizona Zervas",11A,https://p.scdn.co/mp3-preview/18dbed71a2ee41dec2edbecd76e2f67250675dc6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851069a93617a916760ab88ffea
9,"What You Know Bout Love","Pop Smoke",82,84,"brooklyn drill, rap","Hip Hop","Shoot For The Stars Aim For The Moon",2020-07-03,02:40,71,55,65,0,54,30,10,-8,A#/B♭ Major,4,2020-10-14,1tkg4EHVoqnhR6iFEXb60y,"Victor Victor Worldwide",6B,,https://i.scdn.co/image/ab67616d0000485177ada0863603903f57b34369
10,"Toosie Slide","Drake",74,82,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Toosie Slide",2020-04-03,04:07,83,45,32,0,84,20,10,-10,C♯/D♭ Minor,4,2021-05-05,127QTOFJsJQp5LbJbu3A1y,"OVO",12A,,https://i.scdn.co/image/ab67616d000048516443676b54522a86f6323e65
11,"Falling","Trevor Daniel",1,127,"melodic rap","Hip Hop","Nicotine",2020-03-26,02:39,78,43,12,0,24,0,0,-9,A#/B♭ Minor,4,2020-12-31,2rRJrJEo19S2J82BDsQ3F7,"Alamo/Interscope Records",3A,,https://i.scdn.co/image/ab67616d00004851626fb1736f04466054ff7dd4
12,"Memories","Maroon 5",30,91,"pop","Pop","Memories",2019-09-20,03:09,76,32,84,0,57,0,0,-7,B Major,4,2020-12-31,2b8fOow8UzyDFAE27YhOZM,"222 Records/Interscope Records",1B,,https://i.scdn.co/image/ab67616d00004851b8c0135a218de2d10a8435f5
13,"everything i wanted","Billie Eilish",86,120,"art pop, pop","Pop","everything i wanted",2019-11-13,04:05,70,23,90,66,24,10,10,-14,F#/G♭ Minor,4,2020-12-31,3ZCTVFBt2Brf31RLEnCkWJ,"Darkroom/Interscope Records",11A,,https://i.scdn.co/image/ab67616d00004851f2248cf6dad1d6c062587249
14,"august","Taylor Swift",90,90,"pop","Pop","folklore",2020-07-24,04:21,53,62,54,0,40,0,0,-9,F Major,4,2022-10-19,3hUxzQpSfdDqwM3ZTFQY0K,"Taylor Swift",7B,,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc
15,"Say So","Doja Cat",79,111,"dance pop, pop","Pop","Hot Pink",2019-11-07,03:57,79,67,26,0,78,10,0,-5,B Minor,4,2020-12-31,3Dv1eDb0MEgF93GpLXlucZ,"Kemosabe Records/RCA Records",10A,https://p.scdn.co/mp3-preview/7131c09d3479d06d84281176255c851d88f6670b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f14aa81116510d3a6df8432b
16,"WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",80,133,"pop, rap, houston rap, r&b, trap queen","Hip Hop, Pop, R&B","WAP (feat. Megan Thee Stallion)",2020-08-07,03:07,94,45,2,0,36,30,0,-8,C♯/D♭ Major,4,2020-12-31,4Oun2ylbjFKMPTiaSbbCih,"Atlantic/KSR",3B,https://p.scdn.co/mp3-preview/ad79b922940884cd57a17df2dede2c5d106d907c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c450c89d3eb750d3535b0a0c
17,"Rain On Me (with Ariana Grande)","Lady Gaga,Ariana Grande",74,123,"art pop, dance pop, pop","Pop","Rain On Me (with Ariana Grande)",2020-05-22,03:02,67,86,2,0,65,0,30,-4,A Major,4,2020-05-22,24ySl2hOPGCDcxBxFIqWBu,"Interscope Records",11B,,https://i.scdn.co/image/ab67616d00004851c8583f0bd97d3042d4971acf
18,"Dynamite","BTS",0,114,"k-pop, k-pop boy group, pop","Pop","Dynamite",2020-08-21,03:19,75,77,1,0,74,10,0,-4,F#/G♭ Minor,4,2020-08-21,0v1x6rN6JHRapa03JElljE,"2020 BigHit Entertainment",11A,,https://i.scdn.co/image/ab67616d000048512f86d9710377e63bfbc82ba8
19,"Party Girl","StaySolidRocky",74,130,"melodic rap","Hip Hop","Party Girl",2020-04-21,02:27,73,43,75,0,63,0,10,-10,F#/G♭ Minor,4,2020-06-24,5RqR4ZCCKJDcBLIn4sih9l,"Columbia",11A,https://p.scdn.co/mp3-preview/3a6283e721e8cc1f8fd9ca5b589ea7915d876aaf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f3fb166b5515fb19b070773c
20,"Life Is Good (feat. Drake)","Future,Drake",78,142,"atl hip hop, hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, pop rap","Hip Hop, Pop","Life Is Good (feat. Drake)",2020-01-10,03:57,68,61,7,0,51,40,10,-6,D Minor,4,2023-08-13,5yY9lUy8nbvjM1Uyo1Uqoc,"Epic/Freebandz",7A,https://p.scdn.co/mp3-preview/f7e8ac5cc4f6b702718ac3e2e280e270ac16facc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a01c7b77a34378a62f46402
21,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money,Gunna,Don Toliver,NAV",23,140,"pop rap, trap, atl hip hop, melodic rap, rap, canadian hip hop, canadian trap","Hip Hop","B4 The Storm",2020-08-29,03:15,80,66,25,0,46,0,10,-6,C♯/D♭ Minor,4,2020-09-18,2DQNYMRjisN3KAPj1bEwOI,"Internet Money Records/ TenThousand Projects",12A,,https://i.scdn.co/image/ab67616d000048518de76cfb913ec21e57ed0dee
22,"ROCKSTAR (feat. Roddy Ricch)","DaBaby,Roddy Ricch",79,90,"hip hop, north carolina hip hop, pop rap, rap, trap, melodic rap","Hip Hop","BLAME IT ON BABY",2020-04-17,03:01,75,69,25,0,50,10,10,-8,B Major,4,2020-05-07,7ytR5pFWmSjzHJIeQkgog4,"South Coast Music Group/Interscope Records",1B,,https://i.scdn.co/image/ab67616d0000485120e08c8cc23f404d723b5647
